"","ID","bio1_1981-2010_V.2.1","bio10_1981-2010_V.2.1","bio11_1981-2010_V.2.1","bio12_1981-2010_V.2.1","bio13_1981-2010_V.2.1","bio14_1981-2010_V.2.1","bio15_1981-2010_V.2.1","bio16_1981-2010_V.2.1","bio17_1981-2010_V.2.1","bio18_1981-2010_V.2.1","bio19_1981-2010_V.2.1","bio2_1981-2010_V.2.1","bio3_1981-2010_V.2.1","bio4_1981-2010_V.2.1","bio5_1981-2010_V.2.1","bio6_1981-2010_V.2.1","bio7_1981-2010_V.2.1","bio8_1981-2010_V.2.1","bio9_1981-2010_V.2.1"
"158",158,24.95,25.35,24.35,2551.1,324.1,85.6,36,882.3,309.5,739.9,407.6,6.9,74.6,44.6,29.55,20.2500000000001,9.3,25.2500000000001,24.35
"159",159,26.65,27.95,25.85,1207,242.8,0.3,89.9,654.4,4.7,112.9,17.9,9.3,63.5,94.5,34.2500000000001,19.55,14.7,26.35,25.95
"160",160,24.15,25.05,23.35,3430.9,533.8,124.5,43.5,1409.4,447.2,447.2,795.8,6.9,75.4,65,29.7500000000001,20.65,9.1,24.05,25.05
"161",161,25.7500000000001,26.65,25.2500000000001,2407.2,396.2,91.6,54.5,1128.9,311.3,311.3,417,6.7,75.7,58.4,31.15,22.2500000000001,8.9,25.35,26.65
"162",162,25.05,25.85,24.15,2031.4,287.8,88.2,37.4,788.7,332.7,362.7,470.2,7.5,73.8,66.1,31.05,20.95,10.1,24.95,24.95
"163",163,24.95,25.7500000000001,23.55,2230.2,348.6,45.2,59.4,1010.4,148.9,746.4,206.4,6.7,68.6,91.6,29.65,19.95,9.7,25.65,23.65
"164",164,23.85,27.05,19.85,1573,204.8,42.6,44.3,592.5,151.6,567.4,239.9,8.9,53.3,291.7,31.95,15.35,16.6,26.7500000000001,19.95
"165",165,23.15,27.45,17.45,854,178.8,3.3,94.4,498.7,11,404.9,22.7,10.2,48.3,401.7,32.55,11.55,21,26.45,17.7500000000001
"166",166,24.2500000000001,25.05,23.65,1952.1,323.6,9.9,70.8,911.4,49.1,274.9,90.2,9,67.6,51.5,31.85,18.55,13.3,24.05,24.05
"167",167,25.35,26.7500000000001,23.7500000000001,1075.8,214.5,1.5,85.5,550.7,11.2,286.3,23.2,10.3,64.9,116.1,32.95,17.15,15.8,25.55,23.85
"168",168,23.45,24.65,21.45,1400.3,271.1,5.4,80.7,704.6,26.4,381.2,36.4,10.1,64.7,129.9,30.65,15.05,15.6,24.05,21.55
"169",169,25.7500000000001,26.65,25.2500000000001,2093.2,335.1,65.8,52.1,899.4,221.7,297.3,859.6,6.9,74.8,59.1,31.2500000000001,22.05,9.2,25.2500000000001,26.05
"170",170,26.7500000000001,28.35,25.7500000000001,2297.6,355.2,41.4,58.3,1015.9,153.3,153.3,930.5,7.4,66.1,109.3,33.7500000000001,22.55,11.2,25.7500000000001,28.35
"171",171,24.55,25.55,23.85,2479.7,366.8,85.5,41.1,954.1,300.8,300.8,596.2,5.8,67.1,67.6,30.05,21.45,8.6,24.35,25.55
"172",172,24.35,24.95,23.95,3427.1,518.2,82.6,47.9,1347.5,308.3,308.3,1009.8,7.1,72.6,42.9,30.2500000000001,20.45,9.8,24.2500000000001,24.95
"173",173,25.85,26.7500000000001,25.2500000000001,2281.2,386.4,81.2,53.2,1050.5,284.5,284.5,437,7.2,74.6,65.6,31.7500000000001,22.15,9.6,25.35,26.7500000000001
"174",174,26.15,26.85,25.05,1841.8,327.9,50.7,66.6,931.4,183.1,183.1,931.4,6.8,73.4,72.1,31.2500000000001,21.95,9.3,25.05,26.85
"175",175,25.85,26.45,25.2500000000001,2249.6,336.4,24.2,60.4,972.3,113.9,335,181.6,7.3,70.1,46.1,31.65,21.2500000000001,10.4,25.7500000000001,25.45
"176",176,27.45,28.7500000000001,26.55,2197.9,391,27.8,68.5,1062.9,126.6,151.4,1049.3,3.3,58.8,88.4,30.7500000000001,25.15,5.6,26.65,28.55
"177",177,25.95,26.55,25.35,2239.2,335.1,24,60.4,968.1,113.1,333.7,180.4,7.3,70.3,46.4,31.7500000000001,21.35,10.4,25.85,25.55
"178",178,26.45,27.2500000000001,26.05,2486.2,310.3,99,40.7,917.7,310.3,411.3,917.7,6.2,76.5,50.2,31.05,22.95,8.1,26.05,26.7500000000001
"179",179,25.7500000000001,26.55,25.05,1734.8,268.6,21.3,60.3,745.8,85,264.1,132.1,8,66.5,54.5,32.65,20.65,12,25.55,25.55
"180",180,26.15,26.95,25.85,2355.8,293.5,102.8,35.6,842.8,323.2,427.3,511.7,6.8,76.6,45.4,31.05,22.15,8.9,25.85,26.35
"181",181,26.35,27.15,25.85,2211.9,317.2,73.6,46.6,884.9,247.4,366.6,884.9,6.2,77.3,51.7,31.05,23.05,8,25.85,26.65
"182",182,26.2500000000001,26.85,25.95,2587.7,324.4,89.4,38.7,928.4,304,498,907.3,5.7,78,38.5,30.35,23.05,7.3,25.95,26.55
"183",183,26.2500000000001,26.85,25.85,2443.1,354.3,49.2,50.1,998.8,199.7,367.6,998.8,6.4,81,38.6,30.7500000000001,22.85,7.9,25.85,26.35
"184",184,26.35,26.85,26.05,2219.1,280.3,66.5,41.4,815.5,250.3,336.9,371.5,5.9,77.1,37.2,30.65,22.95,7.7,26.15,26.55
"185",185,26.15,26.7500000000001,25.7500000000001,2564.8,362,43.6,52.5,1058.4,175,386.7,1058.4,6.8,77.6,37.9,31.2500000000001,22.55,8.7,25.7500000000001,26.2500000000001
"186",186,26.45,27.2500000000001,25.95,2057.1,305.6,65.4,47,834.3,230.8,358.3,834.3,6.6,77.6,52.4,31.2500000000001,22.7500000000001,8.5,25.95,26.85
"187",187,26.35,27.05,25.7500000000001,2254,323.4,75.1,46.7,902.3,251.9,371.7,902.3,6.1,78.1,50.7,30.85,23.05,7.8,25.7500000000001,26.65
"188",188,26.2500000000001,26.85,25.95,2425.1,307.3,75,41.1,888,273.1,361.3,645.7,5.8,77.7,37.8,30.45,22.95,7.5,26.05,26.55
"189",189,23.05,24.55,20.85,671.1,145.2,3.3,90.9,378,12.8,272.2,12.8,9.4,67.9,146,29.65,15.7500000000001,13.9,24.05,20.85
"190",190,21.55,23.2500000000001,19.45,1129.4,119.1,59.3,18.2,327.2,209.8,316.3,272,6.8,59.5,153,27.15,15.7500000000001,11.4,23.05,20.35
"191",191,26.05,27.2500000000001,24.55,713.6,148.6,0.5,91.1,374.1,4,137.6,4,9.9,68.9,101.6,33.2500000000001,18.85,14.4,26.2500000000001,24.55
"192",192,24.7500000000001,26.35,22.95,1668.4,179.2,102.6,19,501.9,355.6,374.9,382.3,3.7,48.8,132.2,28.15,20.65,7.5,25.55,22.95
"193",193,24.55,26.7500000000001,22.15,1237.1,204.6,40.7,52.2,534.6,136.8,393,136.8,7.1,55.8,178.5,30.7500000000001,18.05,12.7,25.85,22.15
"194",194,22.35,23.55,20.15,1633.5,323.6,7.9,84.6,860.1,36.5,394.1,53.1,8.8,62.3,144.1,28.7500000000001,14.65,14.1,23.15,20.2500000000001
"195",195,22.45,23.45,20.45,1866.4,329.7,12.8,71.5,885.7,67,474.4,97.5,9,64.6,122.3,28.95,15.05,13.9,23.15,20.85
"196",196,23.2500000000001,24.2500000000001,21.45,1593.4,284.1,8,75.2,782.1,48.4,405.9,68.8,9.5,63.1,114.8,30.15,15.05,15.1,23.7500000000001,21.65
"197",197,23.65,24.95,21.2500000000001,1294.7,284.4,6.5,90.3,742.2,26.2,578.7,34.7,9.3,62.6,161.2,29.95,15.15,14.8,24.55,21.2500000000001
"198",198,24.45,25.7500000000001,22.2500000000001,1164.4,262.3,4.9,90.3,653.3,20.1,517.7,20.1,7.5,59.7,147.4,29.7500000000001,17.2500000000001,12.5,25.2500000000001,22.2500000000001
"199",199,23.7500000000001,24.85,21.95,1135.6,267.3,1.3,96.5,632.1,7.5,311.9,7.5,9.2,64.2,119.6,30.35,16.05,14.3,24.15,21.95
"200",200,21.15,23.15,18.65,1107.3,212.3,18.3,73.9,566.4,66.7,410.6,66.7,8.5,61.6,172.8,27.95,14.15,13.8,22.55,18.65
"201",201,18.95,20.95,16.2500000000001,2116.5,481.9,11.6,88.7,1233,53.6,872,53.6,8.6,59.9,186.4,25.05,10.7500000000001,14.3,20.45,16.2500000000001
"202",202,24.95,25.95,24.45,2069.3,352.3,4.4,78.1,1032.9,19.3,272.5,985,9.2,67.5,59.6,32.85,19.2500000000001,13.6,24.45,25.05
"203",203,26.45,27.7500000000001,25.65,1772.8,307.6,0.5,77.4,863,11.7,233.8,826.9,9.1,66.1,83.3,34.35,20.55,13.8,25.7500000000001,26.7500000000001
"204",204,23.65,24.85,21.7500000000001,1686.6,291.1,11,71.1,825.5,63.9,541.9,87.8,8.7,65.6,121.3,30.05,16.7500000000001,13.3,24.35,22.05
"205",205,26.2500000000001,27.35,25.45,2320.9,409.5,36.5,70.1,1139.7,148.1,215,1100.6,6.3,69.9,73,31.65,22.65,9,25.45,27.2500000000001
"206",206,25.7500000000001,27.55,24.95,678.7,126.3,0.3,84.8,357.3,3.8,128,357.3,9.1,66.9,110.7,33.15,19.55,13.6,24.95,25.05
"207",207,21.7500000000001,23.2500000000001,19.45,913.2,123.9,25.9,41.2,335.3,101.4,332.7,165.4,8.2,67,153.3,27.55,15.35,12.2,22.95,20.95
"208",208,25.95,26.65,25.35,1867.3,271.3,27.8,57.7,780.9,101.6,275.7,166.5,7.2,70,49.4,31.7500000000001,21.45,10.3,25.95,25.55
"209",209,26.95,28.2500000000001,26.05,2378.1,365.4,47.1,58.5,1025.1,180.3,180.3,1023.7,5.9,63.9,88.4,32.7500000000001,23.45,9.3,26.15,28.2500000000001
"210",210,23.35,23.85,22.45,2548.1,405.2,83.8,53.2,1149.9,308.5,426.2,1072.3,7.7,79,60.3,28.7500000000001,18.95,9.8,22.45,23.7500000000001
"211",211,19.95,22.55,17.05,1470.9,260.3,33,55.9,658.6,137.5,637.1,137.5,8.2,56.1,220.6,26.85,12.15,14.7,22.45,17.05
"212",212,24.15,25.45,21.55,1458.3,274.6,10.9,73,720.7,56.7,514.4,81.5,9.7,63.7,159,30.95,15.7500000000001,15.2,25.2500000000001,21.95
"213",213,27.15,28.45,25.95,1427,258.5,6.7,74.1,707.8,28.5,132.5,707.8,8.6,71.7,101.6,34.2500000000001,22.2500000000001,12,25.95,28.05
"214",214,25.95,26.55,25.15,1872.6,276,19.8,60.6,797.1,86.9,276.2,142.1,7.2,69.5,52.8,31.65,21.2500000000001,10.4,25.95,25.45
"215",215,25.7500000000001,27.15,25.05,1614.6,295.2,0.8,82.2,823.8,13.2,204.7,764.7,8.8,63.8,91.3,33.65,19.85,13.8,25.15,25.65
"216",216,25.35,26.65,24.7500000000001,1795.8,325.9,1.2,81,897.9,11.7,238.3,840.2,9.4,64.9,80.4,33.7500000000001,19.35,14.4,24.7500000000001,25.45
"217",217,27.95,28.95,26.2500000000001,991.9,213.7,15.3,92.4,615.2,48.7,89.5,547,9.2,73.3,110.6,34.65,22.15,12.5,26.35,28.45
"218",218,25.7500000000001,26.95,24.7500000000001,1879.2,304.1,16.2,62.3,846.7,86,255.3,846.7,8,67.7,83.6,33.05,21.2500000000001,11.8,24.7500000000001,26.45
"219",219,26.65,28.2500000000001,25.65,2021.1,314.5,41.9,59.6,909.7,132,132,847.4,7.4,65.3,111.5,33.65,22.2500000000001,11.4,25.65,28.2500000000001
"220",220,26.35,26.85,25.7500000000001,2479.8,332.9,121,35.2,935.1,396.9,396.9,805.1,5.2,72.8,43.1,30.05,22.95,7.1,26.15,26.7500000000001
"221",221,26.2500000000001,26.95,25.7500000000001,2194.9,324.2,73.2,48.7,903.5,245,336.2,890.6,6.1,76.8,50.6,30.85,22.85,8,25.7500000000001,26.55
"222",222,25.2500000000001,25.65,24.65,2812.9,365.9,87.5,42.2,1051.8,303.2,624.6,426.4,7,76.6,39.3,30.2500000000001,21.15,9.1,25.35,24.7500000000001
"223",223,25.2500000000001,26.35,24.45,2272.9,357.6,6.9,70.1,1058.1,47.9,119.3,1058.1,8.7,67.2,76.6,33.35,20.35,13,24.45,25.95
"224",224,26.7500000000001,27.95,25.85,2282.2,339.5,31.1,60.1,980.1,118.5,118.5,908,5.6,66,81.5,31.85,23.35,8.5,25.85,27.95
"225",225,24.55,25.2500000000001,23.2500000000001,2186.9,334.2,48.5,59.1,963.3,148.2,863.4,148.2,6.7,70.6,88.3,29.05,19.55,9.5,25.2500000000001,23.2500000000001
"226",226,26.2500000000001,26.7500000000001,25.45,2460,332.2,140.1,28.4,868.2,440.4,440.4,836.7,4.9,71,50,29.85,22.95,6.9,25.7500000000001,26.7500000000001
"227",227,26.2500000000001,26.95,25.65,2433.1,346.6,82.5,41.5,949,288.3,309.9,654.9,6.8,70.8,53.6,32.15,22.55,9.6,26.05,26.95
"228",228,26.65,27.2500000000001,26.2500000000001,2301,325.3,47.6,49.4,935,207.9,329,935,6.3,78.2,40.9,31.05,23.05,8,26.2500000000001,26.65
"229",229,26.2500000000001,26.85,25.85,2443.1,354.3,49.2,50.1,998.8,199.7,367.6,998.8,6.4,81,38.6,30.7500000000001,22.85,7.9,25.85,26.35
"230",230,26.65,28.05,25.45,1741.3,379.8,13.7,87.1,964.8,50.1,81.9,956.6,8.3,71.3,103.1,33.55,21.85,11.7,25.45,27.7500000000001
"231",231,26.7500000000001,27.85,25.85,1934.3,375.5,10.7,76.2,976.7,56.6,151,976.7,7.6,71.2,78.8,33.05,22.45,10.6,25.85,27.2500000000001
"232",232,26.85,27.95,25.95,1944.9,381.7,10.6,77,990.8,55.3,148.1,990.8,7.5,70,78.2,33.2500000000001,22.55,10.7,25.95,27.35
"233",233,26.85,27.7500000000001,25.95,2624.9,479.1,33.7,76.1,1361.6,129.1,142.8,1288.1,5.8,68.3,70.9,31.65,23.15,8.5,25.95,27.45
"234",234,25.7500000000001,26.95,24.7500000000001,1879.2,304.1,16.2,62.3,846.7,86,255.3,846.7,8,67.7,83.6,33.05,21.2500000000001,11.8,24.7500000000001,26.45
"235",235,26.2500000000001,26.7500000000001,25.45,2460,332.2,140.1,28.4,868.2,440.4,440.4,836.7,4.9,71,50,29.85,22.95,6.9,25.7500000000001,26.7500000000001
"236",236,26.05,26.55,25.2500000000001,2853.5,384.6,161.6,27.8,999.4,510.4,510.8,958.4,5,70.7,50,29.7500000000001,22.7500000000001,7,25.55,26.2500000000001
"237",237,26.15,26.65,25.35,2661.1,353.4,150,26.9,918.9,469.6,470.6,872.7,5.1,71.8,49.3,29.95,22.85,7.1,25.65,26.35
"238",238,26.15,26.65,25.35,2568.5,344.5,145.3,27.4,894.9,457.5,458.4,854.4,5,71,49.6,29.85,22.85,7,25.65,26.45
"239",239,26.7500000000001,28.05,26.05,2167.7,338.7,51,60.4,959.2,170.2,205.2,956.8,5.5,67.4,81,31.85,23.65,8.2,26.05,27.85
"240",240,20.15,20.45,19.65,2434.6,373.1,103,46.9,1037.8,339.8,421.8,899.2,7,85.1,34.8,24.55,16.35,8.2,19.7500000000001,20.15
"241",241,22.2500000000001,22.65,21.55,2030.5,258.7,109,25,673.7,354.6,520.5,354.6,7.7,78.9,42.8,26.7500000000001,17.05,9.7,22.35,21.55
"242",242,25.55,26.05,24.95,3497.5,388.5,209.2,19.6,1113.4,670.4,812.5,743.5,6.1,77.8,44.2,29.95,22.15,7.8,25.65,25.7500000000001
"243",243,26.45,27.05,26.05,2299.3,304.1,106.5,34.5,816.3,336.3,386.1,562.7,5.7,74.2,42.5,30.55,22.85,7.7,26.15,26.95
"244",244,26.2500000000001,26.95,25.85,2381.6,315.4,113.2,33.7,844.3,353.6,402.7,593.7,5.8,74.9,41.5,30.45,22.7500000000001,7.7,25.95,26.85
"245",245,26.45,27.05,26.05,2166.8,286.9,102.5,33.6,768.8,322.9,369.3,538.2,5.7,74.5,41.5,30.55,22.85,7.7,26.15,26.95
"246",246,26.35,26.95,25.95,2088.5,278.4,100.4,33,744.8,313.7,357,543.2,5.7,75,41.5,30.45,22.85,7.6,26.05,26.85
"247",247,26.35,26.85,25.95,2553.6,320.1,88.4,38.7,916.1,300.2,365.2,894.9,5.7,78,39.2,30.35,23.05,7.3,26.05,26.55
"248",248,27.15,28.65,26.2500000000001,1746,300.2,0.5,80,835.1,8.8,192.7,835.1,8.7,68.2,98.1,34.85,22.05,12.8,26.2500000000001,27.7500000000001
"249",249,25.85,27.05,24.85,1844.3,298.7,16.3,62.4,833.2,85.4,248.9,833.2,7.9,67.2,83.6,33.15,21.35,11.8,24.85,26.55
"250",250,26.65,27.35,26.2500000000001,2476.3,313.5,91,42.4,921.6,290.7,399.2,731.7,5.1,73.5,46.6,30.45,23.45,7,26.35,26.95
"251",251,26.15,27.15,25.55,2188.7,337.3,60.1,55.2,947.5,214.2,247.4,751.3,6.5,72.1,66.6,31.45,22.45,9,25.55,26.95
"252",252,26.15,27.05,25.65,2176,343,69.4,51.9,918.7,231.6,272.8,877.6,6.3,73.5,59.8,31.15,22.55,8.6,25.65,26.85
"253",253,26.35,26.85,25.95,2194.5,282.7,63.4,44.7,821.8,231.9,433.4,346.1,6,77.4,35.6,30.65,22.85,7.8,26.2500000000001,26.15
"254",254,26.55,27.55,25.85,1674.4,302.2,39.1,62.3,781.2,140.2,173.1,725.7,5.8,73.5,68.3,31.15,23.2500000000001,7.9,25.85,27.45
"255",255,26.15,26.65,25.35,2622,364.6,152,31.8,960,461.3,461.3,934.4,5.5,74.1,48.5,30.05,22.65,7.4,25.65,26.65
"256",256,26.35,26.85,25.7500000000001,2514.6,339.9,123.7,34.7,948.6,398.2,402.1,797.3,5.4,72.4,42.3,30.2500000000001,22.85,7.4,26.05,26.7500000000001
"257",257,26.45,27.05,25.95,2272.3,289.6,107.3,30.8,805.1,357.2,373.2,685.2,5.1,73.2,41.3,30.05,23.15,6.9,26.05,26.95
"258",258,26.45,27.05,25.95,2272.3,289.6,107.3,30.8,805.1,357.2,373.2,685.2,5.1,73.2,41.3,30.05,23.15,6.9,26.05,26.95
"259",259,25.95,26.95,25.45,2070.1,284.4,80.4,43.1,798.2,246.9,328.7,751.6,6.9,73.2,60.8,31.2500000000001,21.85,9.4,25.55,26.2500000000001
"260",260,24.85,25.35,24.15,1816.6,227.7,87.9,26.4,612,313.3,418.1,313.3,7.4,76.6,43.4,29.45,19.85,9.6,24.85,24.15
"261",261,26.05,26.55,25.2500000000001,2853.5,384.6,161.6,27.8,999.4,510.4,510.8,958.4,5,70.7,50,29.7500000000001,22.7500000000001,7,25.55,26.2500000000001
